concept_code,vocabulary_id,cluster
R88.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R89,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R89.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R89.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R89.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R89.5,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R89.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R89.7,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R89.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R89.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R90,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R90.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R90.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R90.81,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R90.82,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R90.89,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R91,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R91.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R91.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R92,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R92.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R92.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R92.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R92.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.41,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.42,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.421,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.422,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.429,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.49,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.5,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.6,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.7,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.8,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.81,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.811,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.812,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.813,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.819,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.89,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R93.9,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.0,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.01,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.02,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.09,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.1,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.11,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.110,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.111,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.112,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.113,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.118,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.12,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.120,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.121,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.128,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.13,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.130,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.131,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.138,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.2,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.3,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.30,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.31,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.39,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
R94.4,ICD10CM,abnormal_findings_without_diagnosis_pasc_related
